계,컴퍼,회사,월,P,마지막,약대22,약대24,약대28,30,31,36,37,38,39,48,49,60,61
23-04,연성,K/KB,1000,36,24-06,25-01,25-03,25-07,25-09,25-10,26-03,26-04,26-05,26-06,27-03,27-04,28-03,28-04
23-05,우신팩,KDB,1009,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,탈모노닉스,KB,1011,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,오성폼,KB,1005,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,명가푸드시스템,KDB,500,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,니어솔루션,DB,1000,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-06,비즈앤테크사업단,KDB,500,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,대경기업,K/KDB,1501,36,24-08,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,엘본에이치앤비,K/KDB,2000,36,24-08,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,이너웨이브(1000이관)500만,M,1500,36,24-11,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,스시히로미(강남),SH,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,효바이오텍,KB,501,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-07,동안에너지(프),M,2000,37,25-02,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,리탄바이오,M,993,37,24-11,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,삼원이앤씨,M,497,37,24-11,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,스시히로미(의정부),M,996,37,24-11,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,홍주케미칼,M,500,37,24-11,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-08,이지이노베이션,S/M,2000,38,24-10,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,하쿠나마타타,M,2000,38,24-12,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,린코리아,M,510,37,24-12,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,보담디자인,SH,1003,48,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,시스템벤트,S,1000,38,24-10,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,정우식품,S,500,38,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,"연합트랜스&신한해운항공
 (9월계약포함 83만)",S/SH,3000,38/48,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,"옥토
 (9월계약포함 150만)",SH/M,2008,38,24-10,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,태진자산관리,M,1000,37,25-01,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-09,써니텍,M,1008,38,24-12,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,루나에듀,M,1498,38,24-12,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-10,진성씨지테크,M,500,38,25-01,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,노티스,M,1497,38,25-01,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,아이앤티엔지니어링,S,1000,38,25-01,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-11,꽃사오닷컴,S,1000,38,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,블링캠,M,997,38,25-02,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,쿡트레이드(M금융),M,693,38,25-02,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,하나비앤에프(M금융),M,693,38,25-02,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,한국전자정보시스템,S/M,1500,38,25-02,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-12,디에스테크노(해지30-12),SH,3003,84,30-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,흰곰,SH,1000,48,24-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,엠제이시스템,S/SH,1000,48,24-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,액티브라이프,SH,1501,48,24-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
24-01,서금아쿠아,S,1000,38,25-02,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,대진시스템,S,1000,38,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,이화패키징,SH,1501,48,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,케이씨엠씨,SH,1502,84,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,이화테크,M,1001,38,25-04,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-02,숲올림(프),S,1000,38,25-03,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,동남와이앤씨,S,1000,38,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-03,파인테크네트워크,S,1000,38,25-04,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,브이엔에스인포,S,1000,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,우신팩,S,1000,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,아이씨피로지템,S,2000,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-04,한국볼트상사,S/K,1001,38/60,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,두림,S,1000,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,통해산업,S,700,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,카스엔지니어링,S,1500,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,케이티에스엔지니어링,S,2000,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,넥스뷰,S,1000,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,플러스프로,S,500,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-05,테스프코리아,K,500,38/60,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,동양타워엔지니어링,SH,1001,60,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,삼환기업,S,2000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,유비스종합물류,S,2000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,동양아이에프,S,1000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,서경실업,S,1500,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,엠제이시스템,S,1000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05